requirement_id,area,title,severity,coverage,framework,recommendation
EU-10.3,data_governance,Bias examination,high,0.284,eu_ai_act,Minimal coverage of data_governance. Expand documentation with specific evidence and metrics.
BP-MC.6,model_card,Limitations and caveats,high,0.288,best_practices,Minimal coverage of model_card. Expand documentation with specific evidence and metrics.
EU-A4.1,documentation,Training methodology,high,0.296,eu_ai_act,Minimal coverage of documentation. Expand documentation with specific evidence and metrics.
BP-MC.2,model_card,Intended use,high,0.313,best_practices,Minimal coverage of model_card. Expand documentation with specific evidence and metrics.
EU-11.2,documentation,System description,high,0.324,eu_ai_act,Minimal coverage of documentation. Expand documentation with specific evidence and metrics.
NIST-GV.3,govern,Workforce diversity,medium,0.0,nist_rmf,No documentation found for govern. Create a dedicated section addressing Workforce diversity.
NIST-MG.3,manage,Incident response,medium,0.0,nist_rmf,No documentation found for manage. Create a dedicated section addressing Incident response.
EU-72.1,post_deployment,Post-market monitoring system,high,0.337,eu_ai_act,Minimal coverage of post_deployment. Expand documentation with specific evidence and metrics.
NIST-MG.4,manage,Risk communication,medium,0.009,nist_rmf,No documentation found for manage. Create a dedicated section addressing Risk communication.
BP-DS.3,datasheet,Collection process,medium,0.01,best_practices,No documentation found for datasheet. Create a dedicated section addressing Collection process.
BP-DS.4,datasheet,Preprocessing and labeling,medium,0.011,best_practices,No documentation found for datasheet. Create a dedicated section addressing Preprocessing and labeling.
NIST-MG.2,manage,Continuous monitoring,high,0.344,nist_rmf,Minimal coverage of manage. Expand documentation with specific evidence and metrics.
EU-50.1,ai_interaction_disclosure,AI interaction disclosure,medium,0.085,eu_ai_act,No documentation found for ai_interaction_disclosure. Create a dedicated section addressing AI interaction disclosure.
NIST-GV.5,govern,Third-party risk,medium,0.087,nist_rmf,No documentation found for govern. Create a dedicated section addressing Third-party risk.
NIST-MP.3,map,Benefits and costs,medium,0.087,nist_rmf,No documentation found for map. Create a dedicated section addressing Benefits and costs.
NIST-MS.3,measure,Explainability evaluation,medium,0.091,nist_rmf,No documentation found for measure. Create a dedicated section addressing Explainability evaluation.
BP-MC.4,model_card,Evaluation results,high,0.418,best_practices,Partial coverage of model_card. Add missing details to strengthen compliance.
BP-MC.5,model_card,Ethical considerations,medium,0.175,best_practices,Minimal coverage of model_card. Expand documentation with specific evidence and metrics.
EU-13.3,transparency,Performance disclosure,medium,0.358,eu_ai_act,Minimal coverage of transparency. Expand documentation with specific evidence and metrics.
