requirement_id,framework,area,title,severity,keyword_score,evidence_score,semantic_score,coverage_score,coverage_level,best_matching_section
NIST-MP.1,nist_rmf,map,Context establishment,high,0.2,0.0,0.04,0.09,MISSING,"Intended Use
- **Primary use:** Real-time fraud detection for credit card transactions
- **Intended "
NIST-MP.2,nist_rmf,map,Risk categorization,high,0.175,0.25,0.021,0.163,WEAK,None found
NIST-MP.3,nist_rmf,map,Benefits and costs,medium,0.0,0.25,0.0,0.087,MISSING,None found
NIST-MP.4,nist_rmf,map,Impact on individuals,high,0.0,0.25,0.0,0.087,MISSING,None found
NIST-MS.1,nist_rmf,measure,Appropriate metrics,high,0.25,0.25,0.0,0.188,WEAK,"Evaluation Results
- Precision: 0.94, Recall: 0.87, F1: 0.90, AUC-ROC: 0.96
- Performance by demogra"
NIST-MS.2,nist_rmf,measure,Fairness evaluation,high,0.4,0.167,0.022,0.224,WEAK,"Fairness Assessment
- Demographic parity evaluated across cardholder income brackets
- Equalized odd"
NIST-MS.3,nist_rmf,measure,Explainability evaluation,medium,0.0,0.25,0.013,0.091,MISSING,None found
NIST-MS.4,nist_rmf,measure,Safety evaluation,high,0.0,0.5,0.012,0.178,WEAK,None found
NIST-MS.5,nist_rmf,measure,Security and resilience,high,0.0,0.167,0.012,0.061,MISSING,None found
NIST-MG.1,nist_rmf,manage,Risk response,high,0.433,0.25,0.009,0.263,WEAK,"Risk Management
- Monthly model retraining on latest transaction data
- Human review required for al"
NIST-MG.2,nist_rmf,manage,Continuous monitoring,high,0.4,0.5,0.037,0.344,WEAK,"Risk Management
- Monthly model retraining on latest transaction data
- Human review required for al"
NIST-MG.3,nist_rmf,manage,Incident response,medium,0.0,0.0,0.0,0.0,MISSING,None found
NIST-MG.4,nist_rmf,manage,Risk communication,medium,0.0,0.0,0.035,0.009,MISSING,None found
BP-MC.1,best_practices,model_card,Model details,high,1.0,0.75,0.091,0.685,PARTIAL,"Model Details
- **Developer:** FinanceAI Corp, Version 3.2, Released 2025-01
- **Type:** Gradient Bo"
BP-MC.2,best_practices,model_card,Intended use,high,0.5,0.25,0.104,0.313,WEAK,"Intended Use
- **Primary use:** Real-time fraud detection for credit card transactions
- **Intended "
BP-MC.3,best_practices,model_card,Factors and metrics,high,0.4,0.25,0.043,0.258,WEAK,"Evaluation Results
- Precision: 0.94, Recall: 0.87, F1: 0.90, AUC-ROC: 0.96
- Performance by demogra"
BP-MC.4,best_practices,model_card,Evaluation results,high,0.6,0.5,0.012,0.418,PARTIAL,"Evaluation Results
- Precision: 0.94, Recall: 0.87, F1: 0.90, AUC-ROC: 0.96
- Performance by demogra"
BP-MC.5,best_practices,model_card,Ethical considerations,medium,0.0,0.5,0.0,0.175,WEAK,None found
BP-MC.6,best_practices,model_card,Limitations and caveats,high,0.26,0.5,0.037,0.288,WEAK,"Training Data
- 12M transactions from 2020-2024, 2.3% positive fraud rate
- Sourced from US and Euro"
BP-DS.1,best_practices,datasheet,Dataset motivation,high,0.0,0.0,0.029,0.007,MISSING,None found
BP-DS.2,best_practices,datasheet,Dataset composition,high,0.06,0.0,0.032,0.032,MISSING,None found
BP-DS.3,best_practices,datasheet,Collection process,medium,0.0,0.0,0.039,0.01,MISSING,None found
BP-DS.4,best_practices,datasheet,Preprocessing and labeling,medium,0.0,0.0,0.044,0.011,MISSING,None found
