requirement_id,framework,area,title,severity,keyword_score,evidence_score,semantic_score,coverage_score,coverage_level,best_matching_section
EU-15.2,eu_ai_act,accuracy_robustness,Robustness,high,0.0,0.0,0.045,0.011,MISSING,None found
EU-15.3,eu_ai_act,accuracy_robustness,Cybersecurity,high,0.0,0.0,0.027,0.007,MISSING,None found
EU-72.1,eu_ai_act,post_deployment,Post-market monitoring system,high,0.0,0.167,0.045,0.07,MISSING,None found
EU-72.2,eu_ai_act,post_deployment,Incident reporting,high,0.0,0.0,0.0,0.0,MISSING,None found
EU-50.1,eu_ai_act,ai_interaction_disclosure,AI interaction disclosure,medium,0.0,0.0,0.071,0.018,MISSING,None found
EU-A4.1,eu_ai_act,documentation,Training methodology,high,0.0,0.167,0.023,0.064,MISSING,None found
EU-A4.2,eu_ai_act,documentation,Validation and testing procedures,high,0.0,0.0,0.021,0.005,MISSING,None found
NIST-GV.1,nist_rmf,govern,AI governance structure,high,0.0,0.0,0.05,0.013,MISSING,None found
NIST-GV.2,nist_rmf,govern,Accountability structure,high,0.0,0.0,0.05,0.013,MISSING,None found
NIST-GV.3,nist_rmf,govern,Workforce diversity,medium,0.0,0.0,0.0,0.0,MISSING,None found
NIST-GV.4,nist_rmf,govern,Organizational risk tolerance,high,0.0,0.0,0.0,0.0,MISSING,None found
NIST-GV.5,nist_rmf,govern,Third-party risk,medium,0.0,0.0,0.059,0.015,MISSING,None found
NIST-MP.1,nist_rmf,map,Context establishment,high,0.0,0.167,0.0,0.058,MISSING,None found
NIST-MP.2,nist_rmf,map,Risk categorization,high,0.0,0.0,0.078,0.02,MISSING,None found
NIST-MP.3,nist_rmf,map,Benefits and costs,medium,0.0,0.25,0.092,0.11,WEAK,None found
NIST-MP.4,nist_rmf,map,Impact on individuals,high,0.0,0.25,0.0,0.087,MISSING,None found
NIST-MS.1,nist_rmf,measure,Appropriate metrics,high,0.0,0.0,0.05,0.013,MISSING,None found
NIST-MS.2,nist_rmf,measure,Fairness evaluation,high,0.0,0.0,0.054,0.014,MISSING,None found
NIST-MS.3,nist_rmf,measure,Explainability evaluation,medium,0.0,0.0,0.065,0.016,MISSING,None found
NIST-MS.4,nist_rmf,measure,Safety evaluation,high,0.0,0.0,0.059,0.015,MISSING,None found
NIST-MS.5,nist_rmf,measure,Security and resilience,high,0.0,0.0,0.059,0.015,MISSING,None found
NIST-MG.1,nist_rmf,manage,Risk response,high,0.0,0.0,0.073,0.018,MISSING,None found
NIST-MG.2,nist_rmf,manage,Continuous monitoring,high,0.0,0.167,0.059,0.073,MISSING,None found
NIST-MG.3,nist_rmf,manage,Incident response,medium,0.0,0.0,0.05,0.013,MISSING,None found
NIST-MG.4,nist_rmf,manage,Risk communication,medium,0.0,0.0,0.054,0.014,MISSING,None found
BP-MC.1,best_practices,model_card,Model details,high,0.0,0.25,0.0,0.087,MISSING,None found
BP-MC.2,best_practices,model_card,Intended use,high,0.0,0.0,0.027,0.007,MISSING,None found
BP-MC.3,best_practices,model_card,Factors and metrics,high,0.0,0.0,0.0,0.0,MISSING,None found
BP-MC.4,best_practices,model_card,Evaluation results,high,0.2,0.0,0.0,0.08,MISSING,"Performance
Achieves 82% agreement with human recruiters on top-10 candidate selection."
BP-MC.5,best_practices,model_card,Ethical considerations,medium,0.0,0.0,0.0,0.0,MISSING,None found
BP-MC.6,best_practices,model_card,Limitations and caveats,high,0.0,0.0,0.0,0.0,MISSING,None found
BP-DS.1,best_practices,datasheet,Dataset motivation,high,0.0,0.0,0.0,0.0,MISSING,None found
BP-DS.2,best_practices,datasheet,Dataset composition,high,0.06,0.25,0.027,0.118,WEAK,None found
BP-DS.3,best_practices,datasheet,Collection process,medium,0.0,0.0,0.032,0.008,MISSING,None found
BP-DS.4,best_practices,datasheet,Preprocessing and labeling,medium,0.0,0.0,0.036,0.009,MISSING,None found
